"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"CYTOTECHNOLOGY","0920-9069","1573-0778","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"CYTOTHERAPY","1465-3249","1477-2566","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"CZECH JOURNAL OF ANIMAL SCIENCE","1212-1819","1805-9309","CZECH ACADEMY AGRICULTURAL SCIENCES","TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05"
"CZECH JOURNAL OF FOOD SCIENCES","1212-1800","1805-9317","CZECH ACADEMY AGRICULTURAL SCIENCES","TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05"
"CZECH JOURNAL OF GENETICS AND PLANT BREEDING","1212-1975","1805-9325","CZECH ACADEMY AGRICULTURAL SCIENCES","TESNOV 17, PRAGUE, CZECH REPUBLIC, 117 05"
"CZECHOSLOVAK MATHEMATICAL JOURNAL","0011-4642","1572-9141","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"DAIRY SCIENCE & TECHNOLOGY","1958-5586","1958-5594","SPRINGER FRANCE","22 RUE DE PALESTRO, PARIS, FRANCE, 75002"
"DALTON TRANSACTIONS","1477-9226","1477-9234","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF"
"DANISH MEDICAL JOURNAL","2245-1919","2245-1919","DANISH MEDICAL ASSOC","TRONDHJEMSGADE 9, COPENHAGEN, DENMARK, DK-2100"
"DARU-JOURNAL OF PHARMACEUTICAL SCIENCES","2008-2231","2008-2231","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330"
"DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION","1758-0463","1758-0463","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP"
"DATA & KNOWLEDGE ENGINEERING","0169-023X","1872-6933","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DATA MINING AND KNOWLEDGE DISCOVERY","1384-5810","1573-756X","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"DATA TECHNOLOGIES AND APPLICATIONS","2514-9288","2514-9318","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"DECISION SUPPORT SYSTEMS","0167-9236","1873-5797","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY","0967-0645","1879-0100","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB"
"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS","0967-0637","1879-0119","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB"
"DEFENCE SCIENCE JOURNAL","0011-748X","0976-464X","DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE","METCALFE HOUSE, DELHI, INDIA, 110054"
"DEFENCE TECHNOLOGY","2214-9147","2214-9147","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DEMENTIA AND GERIATRIC COGNITIVE DISORDERS","1420-8008","1421-9824","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"DENDROBIOLOGY","1641-1307","2083-8387","BOGUCKI WYDAWNICTWO NAUKOWE","GORNA WILDA 90, POZNAN, POLAND, 61-576"
"DENDROCHRONOLOGIA","1125-7865","1612-0051","ELSEVIER GMBH","HACKERBRUCKE 6, MUNICH, GERMANY, 80335"
"DENTAL MATERIALS","0109-5641","1879-0097","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"DENTAL MATERIALS JOURNAL","0287-4547","1881-1361","JAPANESE SOC DENTAL MATERIALS DEVICES","C/O KOKU HOKEN KYOKAI, 1-43-9 KOMAGOME TS BDG, KOMAGOME, TOSHIMA-KU, TOKYO, JAPAN, 170-0003"
"DENTAL TRAUMATOLOGY","1600-4469","1600-9657","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DENTOMAXILLOFACIAL RADIOLOGY","0250-832X","1476-542X","BRITISH INST RADIOLOGY","48-50 ST JOHN ST, LONDON, England, EC1M 4DG"
"DEPRESSION AND ANXIETY","1091-4269","1520-6394","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DERMATITIS","1710-3568","2162-5220","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"DERMATOLOGICA SINICA","1027-8117","2223-330X","WOLTERS KLUWER MEDKNOW PUBLICATIONS","WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, INDIA, 400059"
"DERMATOLOGIC CLINICS","0733-8635","1558-0520","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899"
"DERMATOLOGIC SURGERY","1076-0512","1524-4725","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"DERMATOLOGIC THERAPY","1396-0296","1529-8019","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DERMATOLOGY","1018-8665","1421-9832","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"DERMATOLOGY AND THERAPY","2193-8210","2190-9172","ADIS INT LTD","5 THE WAREHOUSE WAY, NORTHCOTE, NEW ZEALAND, AUCKLAND, 0627"
"DESALINATION","0011-9164","1873-4464","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DESALINATION AND WATER TREATMENT","1944-3994","1944-3986","DESALINATION PUBL","36 WALCOTT VALLEY DRIVE,, HOPKINTON, USA, MA, 01748"
"DESIGN AUTOMATION FOR EMBEDDED SYSTEMS","0929-5585","1572-8080","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"DESIGNED MONOMERS AND POLYMERS","1385-772X","1568-5551","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DESIGNS CODES AND CRYPTOGRAPHY","0925-1022","1573-7586","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"DESIGN STUDIES","0142-694X","1872-6909","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT","1435-1951","1522-2403","PENSOFT PUBLISHERS","12 PROF GEORGI ZLATARSKI ST, SOFIA, BULGARIA, 1700"
"DEUTSCHE LEBENSMITTEL-RUNDSCHAU","0012-0413","0012-0413","B BEHES VERLAG GMBH & CO KG","AVERHOFFSTRASSE 10, HAMBURG, GERMANY, 22085"
"DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT","0012-0472","1439-4413","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469"
"DEUTSCHES ARZTEBLATT INTERNATIONAL","1866-0452","1866-0452","DEUTSCHER AERZTE-VERLAG GMBH","DIESELSTRABE 2, POSTFACH 400265, COLOGNE, GERMANY, D-50859"
"DEVELOPING WORLD BIOETHICS","1471-8731","1471-8847","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DEVELOPMENT","0950-1991","1477-9129","COMPANY BIOLOGISTS LTD","BIDDER BUILDING, STATION RD, HISTON, CAMBRIDGE, ENGLAND, CB24 9LF"
"DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","0145-305X","1879-0089","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"DEVELOPMENTAL BIOLOGY","0012-1606","1095-564X","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495"
"DEVELOPMENTAL CELL","1534-5807","1878-1551","CELL PRESS","50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, USA, MA, 02139"
"DEVELOPMENTAL COGNITIVE NEUROSCIENCE","1878-9293","1878-9307","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"DEVELOPMENTAL DYNAMICS","1058-8388","1097-0177","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY","0012-1622","1469-8749","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DEVELOPMENTAL NEUROBIOLOGY","1932-8451","1932-846X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DEVELOPMENTAL NEUROPSYCHOLOGY","8756-5641","1532-6942","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"DEVELOPMENTAL NEUROREHABILITATION","1751-8423","1751-8431","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106"
"DEVELOPMENTAL NEUROSCIENCE","0378-5866","1421-9859","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"DEVELOPMENTAL PSYCHOBIOLOGY","0012-1630","1098-2302","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DEVELOPMENT GENES AND EVOLUTION","0949-944X","1432-041X","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"DEVELOPMENT GROWTH & DIFFERENTIATION","0012-1592","1440-169X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIABETES","0012-1797","1939-327X","AMER DIABETES ASSOC","1701 N BEAUREGARD ST, ALEXANDRIA, USA, VA, 22311-1717"
"DIABETES CARE","0149-5992","1935-5548","AMER DIABETES ASSOC","1701 N BEAUREGARD ST, ALEXANDRIA, USA, VA, 22311-1717"
"DIABETES EDUCATOR","0145-7217","1554-6063","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320"
"DIABETES METABOLIC SYNDROME AND OBESITY-TARGETS AND THERAPY","1178-7007","1178-7007","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752"
"DIABETES & METABOLISM","1262-3636","1878-1780","MASSON EDITEUR","21 STREET CAMILLE DESMOULINS, ISSY, MOULINEAUX CEDEX 9, FRANCE, 92789"
"DIABETES & METABOLISM JOURNAL","2233-6079","2233-6087","KOREAN DIABETES ASSOC","101-2104, LOTTE CASTLE PRES, 109 MAPO-DAERO, MAPO-GU, SEOUL, SOUTH KOREA, 04146"
"DIABETES-METABOLISM RESEARCH AND REVIEWS","1520-7552","1520-7560","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIABETES OBESITY & METABOLISM","1462-8902","1463-1326","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIABETES RESEARCH AND CLINICAL PRACTICE","0168-8227","1872-8227","ELSEVIER IRELAND LTD","ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000"
"DIABETES STOFFWECHSEL UND HERZ","1861-7603","1861-7603","VERLAG KIRCHHEIM","POSTFACH 25 24, MAINZ, GERMANY, 55015"
"DIABETES TECHNOLOGY & THERAPEUTICS","1520-9156","1557-8593","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801"
"DIABETES THERAPY","1869-6953","1869-6961","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"DIABETES & VASCULAR DISEASE RESEARCH","1479-1641","1752-8984","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"DIABETIC MEDICINE","0742-3071","1464-5491","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIABETOLOGE","1860-9716","1860-9724","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"DIABETOLOGIA","0012-186X","1432-0428","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"DIABETOLOGIE UND STOFFWECHSEL","1861-9002","1861-9010","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469"
"DIABETOLOGY & METABOLIC SYNDROME","1758-5996","1758-5996","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW"
"DIAGNOSTIC AND INTERVENTIONAL IMAGING","2211-5684","2211-5684","ELSEVIER MASSON, CORPORATION OFFICE","65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, PARIS, FRANCE, 92442"
"DIAGNOSTIC AND INTERVENTIONAL RADIOLOGY","1305-3825","1305-3612","AVES","BUYUKDERE CAD 105-9, MECIDIYEKOY, SISLI, TURKEY, ISTANBUL, 34394"
"DIAGNOSTIC CYTOPATHOLOGY","8755-1039","1097-0339","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE","0732-8893","1879-0070","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"DIAGNOSTIC PATHOLOGY","1746-1596","1746-1596","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW"
"DIAGNOSTICS","2075-4418","2075-4418","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
"DIALOGUES IN CLINICAL NEUROSCIENCE","1294-8322","1958-5969","INST CONFERENCE HIPPOCRATE","50 RUE CARNOT, SURESNESS-CEDEX, FRANCE, 92284"
"DIAMOND AND RELATED MATERIALS","0925-9635","1879-0062","ELSEVIER SCIENCE SA","PO BOX 564, LAUSANNE, SWITZERLAND, 1001"
"DIATOM RESEARCH","0269-249X","2159-8347","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DIFFERENTIAL AND INTEGRAL EQUATIONS","0893-4983","0893-4983","KHAYYAM PUBL CO INC","PO BOX 429, ATHENS, USA, OH, 45701"
"DIFFERENTIAL EQUATIONS","0012-2661","1608-3083","PLEIADES PUBLISHING INC","PLEIADES PUBLISHING INC, MOSCOW, RUSSIA, 00000"
"DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS","0926-2245","1872-6984","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DIFFERENTIATION","0301-4681","1432-0436","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"DIGESTION","0012-2823","1421-9867","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"DIGESTIVE AND LIVER DISEASE","1590-8658","1878-3562","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"DIGESTIVE DISEASES","0257-2753","1421-9875","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"DIGESTIVE DISEASES AND SCIENCES","0163-2116","1573-2568","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"DIGESTIVE ENDOSCOPY","0915-5635","1443-1661","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIGESTIVE SURGERY","0253-4886","1421-9883","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"DIGEST JOURNAL OF NANOMATERIALS AND BIOSTRUCTURES","1842-3582","1842-3582","INST MATERIALS PHYSICS","NATL INST R&D MATERIALS PHYSICS, ATOMISTILOR STR, 105 BIS, BUCHAREST, ROMANIA, 077125"
"DIGITAL COMMUNICATIONS AND NETWORKS","2468-5925","2352-8648","KEAI PUBLISHING LTD","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, DONGHENG DISTRICT, 100717"
"DIGITAL SIGNAL PROCESSING","1051-2004","1095-4333","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495"
"DISABILITY AND HEALTH JOURNAL","1936-6574","1876-7583","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"DISABILITY AND REHABILITATION","0963-8288","1464-5165","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS","1935-7893","1938-744X","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473"
"DISCOVERY MEDICINE","1539-6509","1944-7930","DISCOVERY MEDICINE","10 GERARD AVE, STE 201, TIMONIUM, USA, MD, 21093"
"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS","1078-0947","1553-5231","AMER INST MATHEMATICAL SCIENCES-AIMS","PO BOX 2604, SPRINGFIELD, USA, MO, 65801-2604"
"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B","1531-3492","1553-524X","AMER INST MATHEMATICAL SCIENCES-AIMS","PO BOX 2604, SPRINGFIELD, USA, MO, 65801-2604"
"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES S","1937-1632","1937-1179","AMER INST MATHEMATICAL SCIENCES-AIMS","PO BOX 2604, SPRINGFIELD, USA, MO, 65801-2604"
"DISCRETE APPLIED MATHEMATICS","0166-218X","1872-6771","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DISCRETE & COMPUTATIONAL GEOMETRY","0179-5376","1432-0444","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"DISCRETE DYNAMICS IN NATURE AND SOCIETY","1026-0226","1607-887X","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF"
"DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS","0924-6703","1573-7594","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"DISCRETE MATHEMATICS","0012-365X","1872-681X","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE","1462-7264","1365-8050","DISCRETE MATHEMATICS THEORETICAL COMPUTER SCIENCE","62 RUE DU CARDINAL MATHIEU, NANCY, FRANCE, F-54000"
"DISCRETE OPTIMIZATION","1572-5286","1873-636X","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DISCUSSIONES MATHEMATICAE GRAPH THEORY","1234-3099","2083-5892","UNIV ZIELONA GORA","C/O PROF Z SZAFRANA 4A, ZIELONA GORA, POLAND, 65-516"
"DISEASE MARKERS","0278-0240","1875-8630","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF"
"DISEASE MODELS & MECHANISMS","1754-8403","1754-8411","COMPANY BIOLOGISTS LTD","BIDDER BUILDING, STATION RD, HISTON, CAMBRIDGE, ENGLAND, CB24 9LF"
"DISEASES OF AQUATIC ORGANISMS","0177-5103","1616-1580","INTER-RESEARCH","NORDBUNTE 23, OLDENDORF LUHE, GERMANY, D-21385"
"DISEASES OF THE COLON & RECTUM","0012-3706","1530-0358","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"DISEASES OF THE ESOPHAGUS","1120-8694","1442-2050","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513"
"DISPLAYS","0141-9382","1872-7387","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DISSERTATIONES MATHEMATICAE","0012-3862","1730-6310","POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN","8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656"
"DISSOLUTION TECHNOLOGIES","1521-298X","2376-869X","DISSOLUTION TECHNOLOGIES, INC","9 YORKRIDGE TRAIL, HOCKESSIN, USA, DE, 19707-9633"
"DISTRIBUTED AND PARALLEL DATABASES","0926-8782","1573-7578","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"DISTRIBUTED COMPUTING","0178-2770","1432-0452","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"DIVERSITY AND DISTRIBUTIONS","1366-9516","1472-4642","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DIVERSITY-BASEL","1424-2818","1424-2818","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
"DIVING AND HYPERBARIC MEDICINE","1833-3516","1833-3516","SOUTH PACIFIC UNDERWATER MED SOC","C/O AUSTRALIAN & NEW ZEALAND COLL ANAESTHETISTS, 630 ST KILDA RD, MELBOURNE, AUSTRALIA, VIC 3004"
"DM DISEASE-A-MONTH","0011-5029","1557-8194","MOSBY-ELSEVIER","360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710"
"DNA AND CELL BIOLOGY","1044-5498","1557-7430","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801"
"DNA REPAIR","1568-7864","1568-7856","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"DNA RESEARCH","1340-2838","1756-1663","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP"
"DOCUMENTA MATHEMATICA","1431-0643","1431-0643","FIZ KARLSRUHE-LEIBNIZ-INST INFORMATIONSINFRASTRUKTUR","HERMANN-VON-HELMHOLTZ-PLATZ 1, EGGENSTEIN-LEOPOLDSHAFEN, GERMANY, 76344"
"DOCUMENTA OPHTHALMOLOGICA","0012-4486","1573-2622","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"DOKLADY BIOCHEMISTRY AND BIOPHYSICS","1607-6729","1608-3091","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578"
"DOKLADY CHEMISTRY","0012-5008","1608-3113","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578"
"DOKLADY EARTH SCIENCES","1028-334X","1531-8354","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578"
"DOKLADY MATHEMATICS","1064-5624","1531-8362","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578"
"DOKLADY PHYSICAL CHEMISTRY","0012-5016","1608-3121","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578"
"DOKLADY PHYSICS","1028-3358","1562-6903","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578"
"DOMESTIC ANIMAL ENDOCRINOLOGY","0739-7240","1879-0054","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"DOSE-RESPONSE","1559-3258","1559-3258","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320"
"DREWNO","1644-3985","1644-3985","INST TECHNOL DREWNA","WINIARSKA ST 1, POSNAN, POLAND, 60-654"
"DRUG AND ALCOHOL DEPENDENCE","0376-8716","1879-0046","ELSEVIER IRELAND LTD","ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000"
"DRUG AND CHEMICAL TOXICOLOGY","0148-0545","1525-6014","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DRUG DELIVERY","1071-7544","1521-0464","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DRUG DELIVERY AND TRANSLATIONAL RESEARCH","2190-393X","2190-3948","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"DRUG DESIGN DEVELOPMENT AND THERAPY","1177-8881","1177-8881","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752"
"DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY","0363-9045","1520-5762","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DRUG DEVELOPMENT RESEARCH","0272-4391","1098-2299","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"DRUG DISCOVERY TODAY","1359-6446","1878-5832","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"DRUG METABOLISM AND DISPOSITION","0090-9556","1521-009X","AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS","9650 ROCKVILLE PIKE, BETHESDA, USA, MD, 20814-3995"
"DRUG METABOLISM AND PHARMACOKINETICS","1347-4367","1880-0920","JAPANESE SOC STUDY XENOBIOTICS","INT MED INF CENTER SHINANOMACHI RENGAKAN, 35 SHINANO-MACHI SHINJUKU-KU, TOKYO, JAPAN, 160-0016"
"DRUG METABOLISM REVIEWS","0360-2532","1097-9883","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"DRUG RESISTANCE UPDATES","1368-7646","1532-2084","CHURCHILL LIVINGSTONE","JOURNAL PRODUCTION DEPT, ROBERT STEVENSON HOUSE, 1-3 BAXTERS PLACE, LEITH WALK, EDINBURGH, SCOTLAND, MIDLOTHIAN, EH1 3AF"
"DRUGS","0012-6667","1179-1950","ADIS INT LTD","5 THE WAREHOUSE WAY, NORTHCOTE, NEW ZEALAND, AUCKLAND, 0627"
"DRUG SAFETY","0114-5916","1179-1942","ADIS INT LTD","5 THE WAREHOUSE WAY, NORTHCOTE, NEW ZEALAND, AUCKLAND, 0627"
