"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"EUROPEAN JOURNAL OF BREAST HEALTH","2587-0831","2587-0831","AVES","BUYUKDERE CAD 105-9, MECIDIYEKOY, SISLI, TURKEY, ISTANBUL, 34394"
"EUROPEAN JOURNAL OF COMPARATIVE ECONOMICS","1824-2979","1824-2979","UNIV CARLO CATTANEO","CORSO MATTEOTTI 222, CASTELLANZA, ITALY, VA 21053"
"EUROPEAN JOURNAL OF COMPUTATIONAL MECHANICS","1779-7179","1958-5829","RIVER PUBLISHERS","ALSBJERGVEJ 10, GISTRUP, DENMARK, 9260"
"EUROPEAN JOURNAL OF CONTEMPORARY EDUCATION","2304-9650","2305-6746","ACAD PUBLISHER HOUSE RESEARCHER","UL KONSTITUTSLI, DOM 26-2 OFIS 6, SOCHI, RUSSIA, 354000"
"EUROPEAN JOURNAL OF CRIME CRIMINAL LAW AND CRIMINAL JUSTICE","0928-9569","1571-8174","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"EUROPEAN JOURNAL OF ECONOMICS AND ECONOMIC POLICIES-INTERVENTION","2052-7764","2052-7772","EDWARD ELGAR PUBLISHING LTD","THE LYPIATTS, 15 LANSDOWN RD, CHELTENHAM, ENGLAND, GLOS, GL50 2JA"
"EUROPEAN JOURNAL OF EDUCATION AND PSYCHOLOGY","1888-8992","1989-2209","ASOC UNIV EDUCATION-ASUNIVEP","ASOC UNIV EDUCATION-ASUNIVEP, ALMERIA, SPAIN, 00000"
"EUROPEAN JOURNAL OF ENGINEERING EDUCATION","0304-3797","1469-5898","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"EUROPEAN JOURNAL OF ENVIRONMENTAL SCIENCES","1805-0174","2336-1964","CHARLES UNIV, FAC MATHEMATICS & PHYSICS","SOKOLOVSKA 83, PRAHA 8, CZECH REPUBLIC, 18675"
"EUROPEAN JOURNAL OF HEALTH LAW","0929-0273","1571-8093","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"EUROPEAN JOURNAL OF HUMAN MOVEMENT","","2386-4095","UNIV EXTREMADURA, FAC CIENCIAS DEPORTE","AVDA UNIVERSIDAD S-N, CACERES, SPAIN, 10003"
"EUROPEAN JOURNAL OF INTERNATIONAL SECURITY","2057-5637","2057-5645","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU"
"EUROPEAN JOURNAL OF INVESTIGATION IN HEALTH PSYCHOLOGY AND EDUCATION","2174-8144","2254-9625","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
"EUROPEAN JOURNAL OF KOREAN STUDIES","2631-4134","2516-5399","BRITISH ASSOC KOREAN STUDIES","71 NORTH PARADE, OTLEY, ENGLAND, WEST YORKSHIRE, LS21 1BA"
"EUROPEAN JOURNAL OF LEGAL STUDIES","1973-2937","1973-2937","EUROPEAN UNIV INST","COMMUNICATIONS SERV-PUBL UNIT, VILLA SALVIATI, VIA BOLOGNESE 156, FIRENZE, ITALY, FI 50139"
"EUROPEAN JOURNAL OF MANAGEMENT AND BUSINESS ECONOMICS","2444-8451","2444-8494","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"EUROPEAN JOURNAL OF MATHEMATICS","2199-675X","2199-6768","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330"
"EUROPEAN JOURNAL OF MEDIA ART AND PHOTOGRAPHY","1339-4940","1339-4940","UNIV SS CYRIL & METHODIUS TRNAVA, FAC MASS MEDIA COMMUNICATION","NAMESTIE JOZEFA HERDU 2, TRNAVA, SLOVAKIA, 91701"
"EUROPEAN JOURNAL OF MENTAL HEALTH","1788-4934","1788-7119","SEMMELWEIS UNIV, INST MENTAL HEALTH","MIKSZATH KALMAN TER 5, BUDAPEST, HUNGARY, 1088"
"EUROPEAN JOURNAL OF MICROBIOLOGY AND IMMUNOLOGY","2062-8633","2062-8633","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117"
"EUROPEAN JOURNAL OF NANOMEDICINE","1662-5986","1662-596X","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785"
"EUROPEAN JOURNAL OF PEDIATRIC SURGERY REPORTS","2194-7619","2194-7627","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469"
"EUROPEAN JOURNAL OF PHYSIOTHERAPY","2167-9169","2167-9177","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"EUROPEAN JOURNAL OF PLASTIC SURGERY","0930-343X","1435-0130","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"EUROPEAN JOURNAL OF POLITICAL THEORY","1474-8851","1741-2730","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"EUROPEAN JOURNAL OF PRAGMATISM AND AMERICAN PHILOSOPHY","2036-4091","2036-4091","ASSOC CULTURALE PRAGMA","VIA OSTIENSE 234, ROME, ITALY, 00146"
"EUROPEAN JOURNAL OF PROBATION","2066-2203","2066-2203","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"EUROPEAN JOURNAL OF PROSTHODONTICS AND RESTORATIVE DENTISTRY","0965-7452","2396-8893","DENNIS BARBER LTD","5 BATTERY GREEN RD, LOWESTOFT, ENGLAND, SUFFOLK, NR32 1DE"
"EUROPEAN JOURNAL OF PSYCHOTHERAPY & COUNSELLING","1364-2537","1469-5901","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"EUROPEAN JOURNAL OF PURE AND APPLIED MATHEMATICS","1307-5543","1307-5543","NEW YORK BUSINESS GLOBAL LLC","NEW YORK BUSINESS GLOBAL, BETHESDA, United States, MD, 00000"
"EUROPEAN JOURNAL OF RADIOLOGY OPEN","2352-0477","2352-0477","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"EUROPEAN JOURNAL OF RHEUMATOLOGY","2147-9720","2148-4279","AVES","BUYUKDERE CAD 105-9, MECIDIYEKOY, SISLI, TURKEY, ISTANBUL, 34394"
"EUROPEAN JOURNAL OF RISK REGULATION","1867-299X","2190-8249","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU"
"EUROPEAN JOURNAL OF SCIENCE AND THEOLOGY","1841-0464","1842-8517","ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV","MANGERON BLVD NO 71A, PO 10, BOX 2111, IASI, ROMANIA, 700050"
"EUROPEAN JOURNAL OF SOCIAL SECURITY","1388-2627","2399-2948","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT","2239-5938","2239-6101","EUROPEAN CENTER SUSTAINABLE DEVELOPMENT","VIA DEI FIORI 34, ROME, ITALY, 00172"
"EUROPEAN JOURNAL OF THERAPEUTICS","2564-7784","2564-7040","AVES","BUYUKDERE CAD 105-9, MECIDIYEKOY, SISLI, TURKEY, ISTANBUL, 34394"
"EUROPEAN JOURNAL OF TOURISM HOSPITALITY AND RECREATION","2182-4916","2182-4916","POLYTECHNIC INST LEIRIA","R DR JOAO SOARES, LEIRIA, PORTUGAL, 2400"
"EUROPEAN JOURNAL OF TOURISM RESEARCH","1994-7658","1314-0817","VARNA UNIV MANAGEMENT-VUM","13 A OBORISHTE STR, VARNA, BULGARIA, 9000"
"EUROPEAN JOURNAL OF TRAINING AND DEVELOPMENT","2046-9012","2046-9020","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"EUROPEAN JOURNAL OF TRANSFORMATION STUDIES","2298-0997","2298-0997","EUROPE OUR HOUSE","EUROPE OUR HOUSE, TBILISI, REP OF GEORGIA, 00000"
"EUROPEAN JOURNAL OF TRANSLATIONAL MYOLOGY","2037-7452","2037-7460","PAGEPRESS PUBL","MEDITGROUP, VIA G BELLI, 4, PAVIA, ITALY, 27100"
"EUROPEAN JUDAISM-A JOURNAL FOR THE NEW EUROPE","0014-3006","1752-2323","BERGHAHN JOURNALS","20 JAY ST, SUITE 512, BROOKLYN, USA, NY, 11201"
"EUROPEAN ORAL RESEARCH","2630-6158","2651-2823","ISTANBUL UNIV PRESS, ISTANBUL UNIV RECTORATE","CENTRAL CAMPUS, BEYAZIT-FATIH, ISTANBUL, TURKEY, 34452"
"EUROPEAN PUBLIC LAW","1354-3725","1875-8207","KLUWER LAW INT","ZUIDPOOLSINGEL 2, PO BOX 316, ALPHEN AAN DEN RIJN, NETHERLANDS, 2400 AH"
"EUROPEAN REVIEW OF PRIVATE LAW","0928-9801","1875-8371","KLUWER LAW INT","ZUIDPOOLSINGEL 2, PO BOX 316, ALPHEN AAN DEN RIJN, NETHERLANDS, 2400 AH"
"EUROPEAN ROMANTIC REVIEW","1050-9585","1740-4657","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"EUROPEAN SPATIAL RESEARCH AND POLICY","1231-1952","1896-1525","LODZ UNIV PRESS","UL LINDLEYA 8, LODZ, POLAND, 90-131"
"EUROPEAN STROKE JOURNAL","2396-9873","2396-9881","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"EUROPEAN TRANSPORT-TRASPORTI EUROPEI","1825-3997","1825-3997","UNIV STUDI TRIESTE, IST STUDIO TRASPORTI INTEGRAZIONE ECON EUROPEA-ISTIEE","VIA DEL LAZZARETTO VECCHIO 13, TRIESTE, ITALY, 34123"
"EUROPEAN UROLOGY ONCOLOGY","2588-9311","2588-9311","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"EUROPES JOURNAL OF PSYCHOLOGY","1841-0413","1841-0413","PSYCHOPEN","UNIVERSITAETSRING 15, TRIER, GERMANY, 54296"
"EUROPOLITY-CONTINUITY AND CHANGE IN EUROPEAN GOVERNANCE","2344-2255","2247-7721","NATL SCH POLITICAL STUDIES & PUBLIC ADM","STR POVERNEI, NR 6, SECTOR 1, BUCHAREST, ROMANIA, 010643"
"EUSKERA","0210-1564","0210-1564","EUSKALTZAINDIA","PLAZA BARRIA, 15 E48005 BILBO, SAN SEBASTIAN, SPAIN, 20004"
"EVERYMANS SCIENCE","0531-495X","0531-495X","INDIAN SCIENCE CONGRESS ASSOC","14 DR BIRESH GUHA STREET, KOLKATA, INDIA, 700 017"
"EVIDENCE-BASED HRM-A GLOBAL FORUM FOR EMPIRICAL SCHOLARSHIP","2049-3983","2049-3991","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE","1715-720X","1715-720X","UNIV ALBERTA","DEPT SOCIOLOGY, EDMONTON, CANADA, ALBERTA, T6G 2E1"
"EVIDENCE-BASED MENTAL HEALTH","1362-0347","1468-960X","BMJ PUBLISHING GROUP","BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR"
"EVOLUTIONARY AND INSTITUTIONAL ECONOMICS REVIEW","1349-4961","2188-2096","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"EVOLUTIONARY INTELLIGENCE","1864-5909","1864-5917","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"EVOLVING SYSTEMS","1868-6478","1868-6486","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"E-WATER","1994-8549","1994-8549","EUROPEAN WATER ASSOC","THEODOR-HEUSS-ALLEE 17, HENNEF, GERMANY, 53773"
"EWHA MEDICAL JOURNAL","2234-3180","2234-2591","EWHA WOMANS UNIV SCH MEDICINE","52, EWHAYEODAE-GIL, SEODAEMUN-GU, SEOUL, SOUTH KOREA, 03760"
"EXCHANGE-JOURNAL OF MISSIOLOGICAL AND ECUMENICAL RESEARCH","0166-2740","1572-543X","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"EXEMPLARIA CLASSICA","1699-3225","2173-6839","UNIV HUELVA, SERV PUBLICACIONES","CAMPUS EL CARMEN, EDIFICIO MARIE CURIE, AVENIDA FUERZAS ARMADAS S-N, HUELVA, SPAIN, 21071"
"EXERCER-LA REVUE FRANCOPHONE DE MEDECINE GENERALE","0998-3953","1961-9138","COLL NATL GENERALISTES ENSEIGNANTS","3, RUE PARMENTIER, MONTREUIL SOUS BOIS, FRANCE, 93100"
"EXPERIMENT-A JOURNAL OF RUSSIAN CULTURE","1084-4945","2211-730X","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"EXPERT REVIEW  OF CARDIOVASCULAR THERAPY","1477-9072","1744-8344","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106"
"EXPERT REVIEW OF ENDOCRINOLOGY & METABOLISM","1744-6651","1744-8417","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"EXPERT REVIEW OF OPHTHALMOLOGY","1746-9899","1746-9902","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"EXPERT REVIEW OF PRECISION MEDICINE AND DRUG DEVELOPMENT","2380-8993","2380-8993","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"EXPLORATIONS IN RENAISSANCE CULTURE","0098-2474","2352-6963","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"EXPLORATORY ANIMAL AND MEDICAL RESEARCH","2277-470X","2319-247X","WEST BENGAL VETERINARY ASSOC","68 KSHUDIRAM BOSE SARANI, CALCUTTA, INDIA, 700 037"
"EYE AND BRAIN","1179-2744","1179-2744","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752"
"EYE REPORTS","2039-4748","2039-4756","OPHTHOSCIENCE PUBL","OPHTHOSCIENCE PUBL, BALTIMORE, USA, MA, 00000"
"EZHEGODNIK FINNO-UGORSKIKH ISSLEDOVANII-YEARBOOK OF FINNO-UGRIC STUDIES","2224-9443","2311-0333","UDMURT STATE UNIV","UL UNIVERSITETSKAYA, 1, IZHEVSK, RUSSIA, 426034"
"FABRICATIONS-THE JOURNAL OF THE SOCIETY OF ARCHITECTURAL HISTORIANS AUSTRALIA AND NEW ZEALAND","1033-1867","2164-4756","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"FACETS","2371-1671","2371-1671","CANADIAN SCIENCE PUBLISHING","65 AURIGA DR, SUITE 203, OTTAWA, CANADA, ON, K2E 7W6"
"FACHSPRACHE-JOURNAL OF PROFESSIONAL AND SCIENTIFIC COMMUNICATION","1017-3285","2523-9201","FACULTAS VERLAGS & BUCHHANDELS AG","BERGGASSE 5, VIENNA, AUSTRIA, A-1090"
"FACILITIES","0263-2772","1758-7131","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"FACTA UNIVERSITATIS-SERIES ELECTRONICS AND ENERGETICS","0353-3670","2217-5997","UNIV NIS","UNIVERZITETSKI TRG 2, PO BOX 123, NIS, SERBIA, 18000"
"FACTA UNIVERSITATIS-SERIES MATHEMATICS AND INFORMATICS","0352-9665","2406-047X","UNIV NIS","UNIVERZITETSKI TRG 2, PO BOX 123, NIS, SERBIA, 18000"
"FACTA UNIVERSITATIS-SERIES MECHANICAL ENGINEERING","0354-2025","2335-0164","UNIV NIS","UNIVERZITETSKI TRG 2, PO BOX 123, NIS, SERBIA, 18000"
"FACTS VIEWS AND VISION IN OBGYN","2032-0418","2032-0418","UNIVERSA PRESS","RUE HOENDER 24, WETTEREN, BELGIUM, 9230"
"FAEDPYME INTERNATIONAL REVIEW-FIR","2255-078X","2255-078X","UNIV POLITECNICA CARTAGENA, SERV DOCUMENTACION","C/ REAL 3, CARTAGENA, SPAIN, 30201"
"FAITH AND PHILOSOPHY","0739-7046","2153-3393","PHILOSOPHY DOCUMENTATION CENTER","PO BOX 7147, CHARLOTTESVILLE, USA, VA, 22906-7147"
"FAMILY & COMMUNITY HISTORY","1463-1180","1751-3812","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"FAMILY & CONSUMER SCIENCES RESEARCH JOURNAL","1077-727X","1552-3934","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"FAMILY COURT REVIEW","1531-2445","1744-1617","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"FAMILY JOURNAL","1066-4807","1552-3950","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320"
"FAMILY MATTERS","1030-2646","1030-2646","AUSTRALIAN INST FAMILY STUDIES","LEVEL 20 S TOWER, 485 LA TROBE ST, MELBOURNE, AUSTRALIA, VIC 3000"
"FAMILY MEDICINE AND COMMUNITY HEALTH","2305-6983","2009-8774","BMJ PUBLISHING GROUP","BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR"
"FAMILY MEDICINE AND PRIMARY CARE REVIEW","1734-3402","2449-8580","TERMEDIA PUBLISHING HOUSE LTD","KLEEBERGA ST 2, POZNAN, POLAND, 61-615"
"FARMACEUTICOS COMUNITARIOS","1885-8619","2173-9218","SOC ESPANOLA FARMACIA FAMILIAR & COMUNITARIA-SEFAC","PASEO DELICIAS, 31ESC IZQ 4O DCHA 28045, MADRID, SPAIN, 00000"
"FARMACIA HOSPITALARIA","1130-6343","2171-8695","EDITORIAL GARSI","JUAN BRAVO, 46, MADRID, SPAIN, 28006"
"FARMECONOMIA-HEALTH ECONOMICS AND THERAPEUTIC PATHWAYS","1721-6915","2240-256X","SEED MEDICAL PUBLISHERS","VIA MAGENTA, 35, TORINO, ITALY, 10128"
"FASCISM","2211-6249","2211-6257","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"FASHION STYLE & POPULAR CULTURE","2050-0726","2050-0734","INTELLECT LTD","THE MILL, PARNALL RD, BRISTOL, ENGLAND, BS16 3JG"
"FATIGUE-BIOMEDICINE HEALTH AND BEHAVIOR","2164-1846","2164-1862","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"FDMP-FLUID DYNAMICS & MATERIALS PROCESSING","1555-256X","1555-2578","TECH SCIENCE PRESS","871 CORONADO CENTER DR, SUTE 200, HENDERSON, USA, NV, 89052"
"FEMINISMO-S","1696-8166","1989-9998","UNIV ALICANTE, INST UNIV INVESTIGACION ESTUDIOS GENERO","APDO 99, CARRETERA SAN VICENTE RASPEIG S-N, ALICANTE, Spain, 03080"
"FEMINIST AFRICA","1726-4596","1726-4596","AFRICAN GENDER INST","HARRY OPPENHEIMER INST BUILDING, LEVEL 2 & 4, UNIV CAPE TOWN, LIBRARY RD, RONDEBOSCH, CAPE TOWN, SOUTH AFRICA, 7701"
"FEMINIST GERMAN STUDIES","1058-7446","1940-512X","UNIV NEBRASKA PRESS","1111 LINCOLN MALL, LINCOLN, USA, NE, 68588-0630"
"FEMINIST MEDIA HISTORIES","","2373-7492","UNIV CALIFORNIA PRESS, JOURNALS DIV","155 GRAND AVENUE, STE 400, OAKLAND, USA, CA, 94612-3764"
"FENNIA-INTERNATIONAL JOURNAL OF GEOGRAPHY","0015-0010","1798-5617","GEOGRAPHICAL SOC FINLAND","JUSTAF HALLSTROMIN KATU 2, DEPT GEOSCIENCES & GEOGRAPHY, PO BOX 64, HELSINKI, FINLAND, 00014"
"FERMENTATION-BASEL","2311-5637","2311-5637","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
"FESTIVAL DELL ARCHITETTURA MAGAZINE","2039-0491","2039-0491","FESTIVAL ARCHITETTURA EDIZIONI","PARCO AREA DELLE SCIENZE, VIA G P USBERTI 181-A, PARMA, ITALY, 43100"
"FIBERS","2079-6439","2079-6439","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
"FIBONACCI QUARTERLY","0015-0517","0015-0517","FIBONACCI ASSOC","C/O PATTY SOLSAA, PO BOX 320, AURORA, USA, SD, 57002-0320"
"FIBRECULTURE JOURNAL","1449-1443","1449-1443","FIBRECULTURE PUBLICATIONS","SCHOOL ENGLISH, MEDIA & PERFORMING ARTS, FACULTY ARTS AND SOCIAL SCIENCES, SYDNEY, AUSTRALIA, NSW 2052"
"FIELDWORK IN RELIGION","1743-0615","1743-0623","EQUINOX PUBLISHING LTD","415, THE WORKSTATION, 15 PATERNOSTER ROW, SHEFFIELD, ENGLAND, S1 2BX"
"FILIGRANE-REVUE DE PSYCHANALYSE","1192-1412","1911-4656","REVUE SANTE MENTALE QUEBEC","C P 60194, MONTREAL, CANADA, QC, H2J 4E1"
"FILM FASHION & CONSUMPTION","2044-2823","2044-2831","INTELLECT LTD","THE MILL, PARNALL RD, BRISTOL, ENGLAND, BS16 3JG"
"FILM HISTORY","0892-2160","1553-3905","INDIANA UNIV PRESS","601 N MORTON STREET, BLOOMINGTON, USA, IN, 47404-3797"
"FILM INTERNATIONAL","1651-6826","2040-3801","INTELLECT LTD","THE MILL, PARNALL RD, BRISTOL, ENGLAND, BS16 3JG"
"FILM STUDIES","1469-0314","2054-2496","MANCHESTER UNIV PRESS","ALTRINCHAM ST, FLOOR J, RENOLD BUILDING, MANCHESTER, ENGLAND, M1 7JA"
"FILOLOGIA MEDIOLATINA","1124-0008","","SISMEL EDIZIONI GALLUZZO","CASELLA POSTALE 90, TAVARNUZZE, ITALY, 50023"
"FILOLOGICHESKIE NAUKI-NAUCHNYE DOKLADY VYSSHEI SHKOLY-PHILOLOGICAL SCIENCES-SCIENTIFIC ESSAYS OF HIGHER EDUCATION","2310-4287","2310-4287","INOIT ALMAVEST","UL VVEDENSKOGO, DOM 23A, STR 3, MOSCOW, RUSSIA, 117342"
"FILOSOFIA POLITICA","0394-7297","0394-7297","SOC ED IL MULINO","STRADA MAGGIORE 37, BOLOGNA, ITALY, 40125"
"FILOSOFIYA-PHILOSOPHY","0861-6302","1314-8559","NATSIONALNO IZDATELSTVO AZ BUKI","BUL TSARIGRADSKO SHOSE, 125, BL 5, SOFIA, BULGARIA, 1113"
"FILOSOFSKII ZHURNAL","2072-0726","2072-0726","RUSSIAN ACAD SCIENCES-INST PHILOSOPHY","UL VOLHONKA, DOM 14-1, STR 5, MOSCOW, RUSSIA, 119991"
"FINANCIAL ACCOUNTABILITY & MANAGEMENT","0267-4424","1468-0408","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"FINANCIAL AND CREDIT ACTIVITY-PROBLEMS OF THEORY AND PRACTICE","2306-4994","2310-8770","NATL BANK UKRAINE, UNIV BANKING, KHARKIV INST BANKING","PR-KT PEREMOHY, 55, KHARKIV, UKRAINE, 61174"
"FINANCIAL HISTORY REVIEW","0968-5650","1474-0052","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473"
"FINANCIAL MARKETS AND PORTFOLIO MANAGEMENT","1934-4554","2373-8529","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"FINANCIAL REVIEW","0732-8516","1540-6288","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"FINISTERRA-REVISTA PORTUGUESA DE GEOGRAFIA","0430-5027","2182-2905","UNIV LISBOA, CENTRO ESTUDOS GEOGRAFICOS","INST GEOGRAFIA & ORDENAMENTO TERRITORIO IGOT, RUA BRANCA EDMEE MARQUES, LISBOA, PORTUGAL, 1600-276"
"FINLAY","2221-2434","2221-2434","CENTRO PROVINCIAL INFORMACION CIENCIAS MEDICAS CINFUEGOS","CALLE 51 A & AVENIDA 5 SEPTIEMBRE, CINFUEGOS, CUBA, 55100"
"FIRST PEOPLES CHILD & FAMILY REVIEW","1708-489X","1708-489X","FIRST NATIONS CHILD & FAMILY CARING SOC CANADA","100-696 PORTAGE AVE, WINNIPEG, CANADA, MB, R3G 0M6"
"FISHERY TECHNOLOGY","0015-3001","0015-3001","SOC FISHERIES TECHNOLOGISTS, INDIA","MATSYAPURI P O, COCHIN, INDIA, 00000"
"FISICA DE LA TIERRA","0214-4557","1988-2440","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040"
"FLATCHEM","2452-2627","","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"FLEXIBLE AND PRINTED ELECTRONICS","2058-8585","2058-8585","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE"
"FLORA INFEKSIYON HASTALIKLARI VE KLINIK MIKROBIYOLOJI DERGISI","1300-932X","1300-932X","BILIMSEL TIP YAYINEVI","BILIMSEL TIP YAYINEVI, ANKARA, TURKEY, 00000"
"FLORENCE NIGHTINGALE JOURNAL OF NURSING-FLORENCE NIGHTINGALE HEMSIRELIK DERGISI","2147-4923","2147-8686","ISTANBUL UNIV-CERRAHAPASA","ISTANBUL UNIV-CERRAHAPASA, ISTANBUL, TURKEY, AVCILAR, 34320"
"FLORESTA E AMBIENTE","2179-8087","2179-8087","UNIV FEDERAL RURAL RIO DE JANEIRO, INST FLORESTAS","RODOVIA BR 465 KM 7, RIO DE JANEIRO, BRAZIL, CEP23897-000"
"FLUGMEDIZIN TROPENMEDIZIN REISEMEDIZIN","1864-4538","1864-175X","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469"
"FLUIDS","2311-5521","2311-5521","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
