Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
3330;28986;Hangkong Cailiao Xuebao/Journal of Aeronautical Materials;journal;10055053;0,212;Q3;17;77;251;2448;162;251;0,64;31,79;China;Chinese Society of Aeronautics and Astronautics;1998-ongoing;"Aerospace Engineering (Q3); Metals and Alloys (Q3); Ceramics and Composites (Q4); Materials Chemistry (Q4)"
3331;6400153154;Journal of Control Science and Engineering;journal;16875249, 16875257;0,212;Q3;15;73;209;1665;159;204;0,79;22,81;Egypt;Hindawi Publishing Corporation;2007-ongoing;"Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4); Modeling and Simulation (Q4)"
3332;21100265049;Journal of Engineering and Technological Sciences;journal;23375779;0,212;Q2;10;53;160;1277;133;160;0,85;24,09;Indonesia;Institut Teknologi Bandung (ITB);2013-ongoing;Engineering (miscellaneous) (Q2)
3333;21100201026;Journal of Mathematics in Industry;journal;21905983;0,212;Q4;7;15;27;414;31;27;1,12;27,6;Germany;Springer Verlag;2011-ongoing;Applied Mathematics (Q4)
3334;21100804545;Progress in Color, Colorants and Coatings;journal;20082134, 23831790;0,212;Q3;5;24;48;661;39;48;0,81;27,54;Iran;Institute for Color Science and Technology (ICST);2016-ongoing;"Process Chemistry and Technology (Q3); Surfaces, Coatings and Films (Q3)"
3335;21100201998;Scientia Agriculturae Bohemica;journal;18059430, 12113174;0,212;Q3;9;41;83;1652;50;83;0,64;40,29;Germany;De Gruyter Open Ltd.;2012-ongoing;Agricultural and Biological Sciences (miscellaneous) (Q3)
3336;5600152992;Sociologija;journal;24060712, 00380318;0,212;Q3;6;48;93;1875;21;93;0,16;39,06;Serbia;Jugoslovensko udruzenje za sociologiju;2007-ongoing;Social Sciences (miscellaneous) (Q3)
3337;21100814517;Space and Culture, India;journal;20528396;0,212;Q2;6;46;68;1422;19;56;0,23;30,91;United Kingdom;ACCB Publishing;2013-ongoing;"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Education (Q3); Gender Studies (Q3); Sociology and Political Science (Q3)"
3338;21100869489;Academic Pathology;journal;23742895;0,211;Q4;4;19;63;416;42;59;0,75;21,89;United Kingdom;SAGE Publications Ltd;2014-ongoing;Pathology and Forensic Medicine (Q4)
3339;19900191860;Bulletin of Chemical Reaction Engineering and Catalysis;journal;19782993;0,211;Q3;12;60;148;1875;129;141;0,93;31,25;Indonesia;Diponegoro University;2011-ongoing;"Process Chemistry and Technology (Q3); Catalysis (Q4)"
3340;28087;Documents d' Analisi Geografica;journal;2121573;0,211;Q3;14;25;85;1249;48;82;0,63;49,96;Spain;Universitat de Barcelona;1988-ongoing;"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)"
3341;21100375904;Open Engineering;journal;23915439;0,211;Q3;17;67;207;1590;185;203;0,85;23,73;Germany;Walter de Gruyter GmbH;2015-ongoing;"Aerospace Engineering (Q3); Civil and Structural Engineering (Q3); Electrical and Electronic Engineering (Q3); Environmental Engineering (Q3); Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3)"
3342;19700186896;Progress In Electromagnetics Research Letters;journal;19376480;0,211;Q4;29;180;406;2712;352;406;0,95;15,07;United States;Electromagnetics Academy;2009-ongoing;Electronic, Optical and Magnetic Materials (Q4)
3343;19400158588;Revista Chapingo, Serie Ciencias Forestales y del Ambiente;journal;20073828, 20074018;0,211;Q3;6;30;76;941;38;75;0,67;31,37;Mexico;Universidad Autonoma Chapingo;2008-ongoing;"Ecology (Q3); Forestry (Q3)"
3344;20000195045;Revista Colombiana de Antropologia;journal;4866525;0,211;Q2;5;20;65;1048;16;63;0,31;52,4;Colombia;Instituto Colombiano de Antropologia e Historia;2011-ongoing;Anthropology (Q2)
3345;22476;Informacion Tecnologica;journal;07180764, 07168756;0,21;Q3;12;164;369;5113;214;355;0,64;31,18;Chile;Centro de Informacion Tecnologica;1996-ongoing;"Energy (miscellaneous) (Q3); Geotechnical Engineering and Engineering Geology (Q3); Industrial and Manufacturing Engineering (Q3); Strategy and Management (Q3); Computer Science Applications (Q4); Food Science (Q4)"
3346;21100440516;International Journal of Computer Information Systems and Industrial Management Applications;journal;21507988;0,21;Q3;5;18;68;654;43;68;0,75;36,33;India;Machine Intelligence Research Labs;2015-ongoing;"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Information Systems (Q3); Signal Processing (Q3); Strategy and Management (Q3); Management Information Systems (Q4)"
3347;19900191988;International Journal of Navigation and Observation;journal;16876008, 16875990;0,21;Q2;14;1;16;13;29;16;0,86;13;Egypt;Hindawi Publishing Corporation;2011-ongoing;"Engineering (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Instrumentation (Q4)"
3348;21100229162;Journal of Konbin;journal;18958281;0,21;Q3;6;44;199;629;57;199;0,28;14,3;Germany;De Gruyter Open Ltd.;2012-ongoing;Safety, Risk, Reliability and Quality (Q3)
3349;21100276221;Review of Economic Perspectives;journal;12132446, 18041663;0,21;Q3;6;21;67;750;43;67;0,66;35,71;Germany;De Gruyter Open;2013-ongoing;Economics, Econometrics and Finance (miscellaneous) (Q3)
3350;21100394733;Acta Gymnica;journal;23364912, 23364920;0,209;Q3;6;24;72;802;49;72;0,71;33,42;Czech Republic;Palacky University;2014-ongoing;Physical Therapy, Sports Therapy and Rehabilitation (Q3)
3351;19405;Acta Poloniae Pharmaceutica;journal;16837;0,209;Q3;35;148;544;4754;295;534;0,46;32,12;Poland;Polskie Towarzystwo Farmaceutyczne/Polish Pharmaceutical Society;1951-1955, 1961-ongoing;"Pharmaceutical Science (Q3); Pharmacology (Q3)"
3352;19700174746;Custos e Agronegocio;journal;18082882;0,209;Q3;5;84;240;2715;79;240;0,33;32,32;Brazil;Universidade Federal Rural de Pernambuco;2009-ongoing;"Agronomy and Crop Science (Q3); Business, Management and Accounting (miscellaneous) (Q3)"
3353;5800207863;Eesti Rakenduslingvistika Uhingu Aastaraamat;journal;17362563;0,209;Q2;7;15;49;502;20;49;0,35;33,47;Estonia;Estonian Association for Applied Linguistics;2005-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q3)"
3354;21100453530;GE Portuguese Journal of Gastroenterology;journal;23414545;0,209;Q3;5;128;201;1534;90;187;0,49;11,98;Netherlands;Elsevier BV;2014-ongoing;Gastroenterology (Q3)
3355;4700152225;Gestao e Producao;journal;0104530X;0,209;Q3;14;64;197;3278;85;183;0,5;51,22;Brazil;Universidade Federal de Sao Carlos;2006-ongoing;"Business and International Management (Q3); Industrial and Manufacturing Engineering (Q3)"
3356;19700175041;International Medical Case Reports Journal;journal;1179142X;0,209;Q3;8;69;228;1269;131;219;0,52;18,39;New Zealand;Dove Medical Press Ltd;2010-ongoing;Medicine (miscellaneous) (Q3)
3357;21100264366;Revista Brasileira de Ciencias do Esporte;journal;01013289, 21793255;0,209;Q3;5;115;180;2419;70;179;0,34;21,03;Brazil;Colegio Brasileiro de Ciencias do Esporte (CBCE);2013-ongoing;"Health (social science) (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
3358;300147002;Tamkang Journal of Mathematics;journal;20739826, 00492930;0,209;Q3;13;24;91;530;34;91;0,42;22,08;Taiwan;Tamkang University;2005-ongoing;"Materials Science (miscellaneous) (Q3); Metals and Alloys (Q3); Applied Mathematics (Q4); Mathematics (miscellaneous) (Q4)"
3359;19900191876;Transinformacao;journal;1033786;0,209;Q2;5;27;89;892;32;85;0,44;33,04;Brazil;Pontificia Universidade Catolica de Campinas;2010-ongoing;"Museology (Q2); Communication (Q3); Information Systems (Q3); Library and Information Sciences (Q3)"
3360;19600156802;Acta Metallurgica Slovaca;journal;13351532;0,208;Q3;11;40;116;896;71;112;0,68;22,4;Slovakia;Technicka Univerzita Kosice;2009-ongoing;Metals and Alloys (Q3)
3361;21100199343;Agricultural Engineering International: CIGR Journal;journal;16821130;0,208;Q3;14;111;475;3283;196;475;0,41;29,58;Japan;International Commission of Agricultural and Biosystems Engineering;2011-ongoing;"Automotive Engineering (Q3); Energy (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Agronomy and Crop Science (Q4)"
3362;21100790708;Culture and History Digital Journal;journal;2253797X;0,208;Q1;4;12;41;377;27;39;0,69;31,42;Spain;CSIC Consejo Superior de Investigaciones Cientificas;2016-ongoing;"History (Q1); Cultural Studies (Q2)"
3363;16050;Indian Journal of Biotechnology;journal;09725849, 09750967;0,208;Q3;32;70;220;2154;121;220;0,39;30,77;India;National Institute of Science Communication;2002-ongoing;"Biotechnology (Q3); Plant Science (Q3); Applied Microbiology and Biotechnology (Q4); Bioengineering (Q4)"
3364;5700165169;Information Bulletin on Variable Stars;journal;03740676, 15872440;0,208;Q4;13;22;114;294;23;111;0,13;13,36;Hungary;Konkoly Observatory;2007-ongoing;"Astronomy and Astrophysics (Q4); Instrumentation (Q4)"
3365;21100869224;International Journal of Mathematical, Engineering and Management Sciences;journal;24557749;0,208;Q2;4;37;37;906;24;36;0,67;24,49;India;International Journal of Mathematical, Engineering and Management Sciences (IJMEMS);2016-ongoing;"Engineering (miscellaneous) (Q2); Business, Management and Accounting (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)"
3366;21100830763;Journal of Information Science Theory and Practice;journal;22879099, 22874577;0,208;Q3;2;20;20;605;16;20;0,8;30,25;South Korea;Korea Institute of Science and Technology Information;2017-ongoing;"Information Systems (Q3); Information Systems and Management (Q3); Library and Information Sciences (Q3)"
3367;145262;Journal of the Brazilian Computer Society;journal;1046500;0,208;Q3;17;17;45;748;50;45;1,17;44;Switzerland;Springer International Publishing AG;2000-2003, 2007-ongoing;Computer Science (miscellaneous) (Q3)
3368;21100456854;Journal of University Teaching and Learning Practice;journal;14499789;0,208;Q3;4;20;62;756;40;54;0,74;37,8;Australia;University of Wollongong;2016-ongoing;Education (Q3)
3369;5800222691;Magyar Nyelvor;journal;00250236, 15854515;0,208;Q2;3;28;110;1055;12;106;0,12;37,68;Hungary;Akademiai Kiado;2011-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2)"
3370;29324;Online Journal of Nursing Informatics;journal;10899758;0,208;Q3;11;24;87;385;34;69;0,41;16,04;United States;On-Line Journal of Nursing Informatics;1997-ongoing;"Health Informatics (Q3); Nursing (miscellaneous) (Q3)"
3371;21100393214;Oral and Maxillofacial Surgery Cases;journal;22145419;0,208;Q3;2;31;44;569;18;43;0,41;18,35;Netherlands;Elsevier BV;2015-ongoing;"Oral Surgery (Q3); Otorhinolaryngology (Q3); Surgery (Q3)"
3372;19495;Veterinarski Arhiv;journal;03725480, 13318055;0,208;Q3;24;63;184;2124;86;184;0,43;33,71;Croatia;University of Zagreb;1981, 1996-ongoing;Veterinary (miscellaneous) (Q3)
3373;7200153137;Zbornik Instituta za Pedagoska Istrazivanja;journal;5796431;0,208;Q3;5;8;55;469;16;55;0,24;58,63;Serbia;Institut za Pedagoska Istrazivanja;2007-ongoing;Education (Q3)
3374;21100201721;Cosmos and History;journal;18329101;0,207;Q2;6;40;137;863;36;135;0,21;21,58;Australia;Open Humanities Press;2011-ongoing;Philosophy (Q2)
3375;21100367873;Journal of Horticultural Research;journal;23005009, 23533978;0,207;Q4;5;10;76;293;36;75;0,47;29,3;Germany;Walter de Gruyter GmbH;2014-ongoing;"Agronomy and Crop Science (Q4); Food Science (Q4); Horticulture (Q4); Plant Science (Q4); Soil Science (Q4)"
3376;21100378965;Journal of Social Science Education;journal;16185293;0,207;Q3;4;15;103;860;36;89;0,53;57,33;Germany;Sowi-online;2015-ongoing;Education (Q3)
3377;145255;Matematicki Vesnik;journal;255165;0,207;Q4;15;36;79;608;30;79;0,37;16,89;Serbia;Drustvo Matematicara SR Srbije;1999-ongoing;Mathematics (miscellaneous) (Q4)
3378;10600153339;Perspectives in health information management / AHIMA, American Health Information Management Association;journal;15594122;0,207;Q3;18;6;67;0;58;66;0,76;0;United States;American Health Information Management Association;2007-ongoing;Medicine (miscellaneous) (Q3)
3379;15159;Review of Regional Studies;journal;0048749X;0,207;Q3;18;20;46;1083;27;46;0,39;54,15;United States;University of Delaware;1977-1982, 1984, 1987-2006, 2008-ongoing;"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)"
3380;21100205744;Salud y Drogas;journal;15785319, 1988205X;0,207;Q3;8;33;59;1291;37;59;0,51;39,12;Spain;Instituto de Investigacion de Drogodependencias, Universidad Miguel Hernandez;2009-ongoing;"Health (social science) (Q3); Developmental and Educational Psychology (Q4); Psychiatry and Mental Health (Q4)"
3381;19900192029;Advances in Mathematical Physics;journal;16879120, 16879139;0,206;Q3;17;137;365;3925;249;360;0,75;28,65;Egypt;Hindawi Publishing Corporation;2009-ongoing;"Physics and Astronomy (miscellaneous) (Q3); Applied Mathematics (Q4)"
3382;20100195028;International Journal of Plant Biology;journal;20370164, 20370156;0,206;Q4;9;4;33;112;32;33;0,64;28;Italy;PagePress;2010-ongoing;Plant Science (Q4)
3383;17700155807;Journal of Educators Online;journal;1547500X;0,206;Q3;13;21;37;751;39;37;0,87;35,76;United States;M. Elbeck;2009-ongoing;"Education (Q3); E-learning (Q3)"
3384;19300157032;Medziagotyra;journal;13921320;0,206;Q3;18;74;288;1894;168;285;0,55;25,59;Lithuania;Kaunas University of Technology;2008-ongoing;Materials Science (miscellaneous) (Q3)
3385;21100856605;Paginas;journal;1851992X;0,206;Q1;1;16;26;423;1;24;0,04;26,44;Argentina;Universidad Nacional de Rosario - Facultad de Humanidades y Artes, Escuela de Historia;2017-ongoing;History (Q1)
3386;19700182411;AIBR Revista de Antropologia Iberoamericana;journal;15789705, 16959752;0,205;Q2;7;21;53;694;28;50;0,81;33,05;Spain;Asociacion De Antropologos Iberoamericanos En Red - AIBR;2009-ongoing;"Anthropology (Q2); Cultural Studies (Q2)"
3387;24725;Bulletin of the Korean Chemical Society;journal;02532964, 12295949;0,205;Q3;52;272;1235;7705;700;1125;0,68;28,33;United States;Wiley-Blackwell;1996-ongoing;Chemistry (miscellaneous) (Q3)
3388;6800153102;Canadian Journal of Speech-Language Pathology and Audiology;journal;1913200X;0,205;Q2;13;8;60;372;16;56;0,24;46,5;Canada;Canadian Association Of Speech-Language Pathologists And Audiologists;2007-ongoing;"Linguistics and Language (Q2); Speech and Hearing (Q4)"
3389;19900191832;Ideas y Valores;journal;1200062;0,205;Q2;3;61;156;1333;16;143;0,11;21,85;Colombia;Universidad Nacional de Colombia;2010-ongoing;Philosophy (Q2)
3390;24098;Indian Journal of Chemical Technology;journal;0971457X, 09750991;0,205;Q3;33;54;190;1843;111;187;0,55;34,13;India;Scientific Publishers;1994-ongoing;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3)"
3391;21100305250;Indian Journal of Geo-Marine Sciences;journal;9751033;0,205;Q4;31;314;613;9904;280;611;0,4;31,54;India;National Institute of Science Communication and Information Resources (NISCAIR);2010-ongoing;Oceanography (Q4)
3392;17700156749;Intangible Capital;journal;16979818;0,205;Q3;10;33;120;2005;87;118;0,79;60,76;Spain;Intangible Capital;2009-ongoing;"Business and International Management (Q3); Education (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3); Accounting (Q4); Organizational Behavior and Human Resource Management (Q4)"
3393;19700175587;Interdisciplinaria;journal;03258203, 16687027;0,205;Q3;8;12;66;616;21;66;0,28;51,33;Argentina;Centro Interamericano de Investigaciones Psicologicas y Ciencias Afines;2009-ongoing;Psychology (miscellaneous) (Q3)
3394;12900154715;International Journal of Ageing and Later Life;journal;16528670;0,205;Q2;12;7;14;342;8;13;0,83;48,86;Sweden;Linkoping University Electronic Press;2008-ongoing;"Cultural Studies (Q2); Gender Studies (Q3); Health (social science) (Q4); Life-span and Life-course Studies (Q4)"
3395;19700174946;Iranian Journal of Radiology;journal;20082711, 17351065;0,205;Q4;12;89;271;1906;145;264;0,47;21,42;Netherlands;Kowsar Publishing Company;2008-ongoing;Radiology, Nuclear Medicine and Imaging (Q4)
3396;21100385604;Jordan Journal of Biological Sciences;journal;23077166;0,205;Q3;6;67;129;2616;79;124;0,47;39,04;Jordan;Hashemite University;2014-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)"
3397;21100790059;Journal of Entomological and Acarological Research;journal;2038324X, 22797084;0,205;Q3;2;10;49;311;25;49;0,51;31,1;Italy;PagePress Publications;2016-ongoing;"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Insect Science (Q4)"
3398;21100824437;Led i Sneg;journal;20766734, 24123765;0,205;Q3;2;48;46;1000;26;45;0,58;20,83;Russian Federation;Izdatel'stvo Nauka;2017-ongoing;"Earth-Surface Processes (Q3); Water Science and Technology (Q3); Geochemistry and Petrology (Q4); Global and Planetary Change (Q4)"
3399;17700154930;Missionalia;journal;2569507;0,205;Q1;7;16;77;529;11;68;0,06;33,06;South Africa;Southern African Missiological Society;2002-2005, 2007-ongoing;Religious Studies (Q1)
3400;22988;Revista Venezolana de Gerencia;journal;13159984;0,205;Q3;7;30;93;1001;28;83;0,45;33,37;Venezuela;Universidad del Zulia;1996-ongoing;Geography, Planning and Development (Q3)
3401;21100853738;ROBOMECH Journal;journal;21974225;0,205;Q3;7;31;75;733;81;74;1,18;23,65;Switzerland;Springer International Publishing AG;2014-ongoing;"Mechanical Engineering (Q3); Artificial Intelligence (Q4); Control and Optimization (Q4); Instrumentation (Q4); Modeling and Simulation (Q4)"
3402;21100301612;Swiss Dental Journal;journal;22966501, 22966498;0,205;Q3;19;27;93;0;43;91;0,47;0;Switzerland;Schweizerische Zahnarzte-Gesellschaft;2014-ongoing;"Dentistry (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)"
3403;19200156945;Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas;journal;7177917;0,204;Q3;16;35;124;2373;79;124;0,52;67,8;Chile;Universidad de Santiago de Chile;2008-ongoing;"Complementary and Alternative Medicine (Q3); Pharmacology (Q3); Drug Discovery (Q4); Plant Science (Q4)"
3404;21100854010;Clinical Case Reports;journal;20500904;0,204;Q3;6;374;156;4574;84;155;0,5;12,23;United Kingdom;John Wiley and Sons Ltd;2013-ongoing;Medicine (miscellaneous) (Q3)
3405;21100874186;Computer Assisted Surgery;journal;24699322;0,204;Q3;3;9;96;372;66;94;0,7;41,33;United Kingdom;Taylor and Francis Ltd.;2016-ongoing;"Family Practice (Q3); Surgery (Q3); Computer Science Applications (Q4)"
3406;21100301410;International Journal for Quality Research;journal;18007473, 18006450;0,204;Q4;11;57;164;2598;155;158;1,06;45,58;Serbia;University of Montenegro;2014-ongoing;Management Science and Operations Research (Q4)
3407;16300154716;Journal for the Study of Religions and Ideologies;journal;15830039;0,204;Q1;11;33;87;1084;19;87;0,21;32,85;Romania;Biblioteca Centrala Universitara/Babes-Bolyai University;2002-ongoing;"Religious Studies (Q1); Philosophy (Q2)"
3408;5800207616;Revista de Llengua i Dret;journal;2125056;0,204;Q2;4;48;117;732;16;116;0,14;15,25;Spain;Escola d'Administracio Publica de Catalunya;2011-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2); Law (Q3)"
3409;24196;Scientia Iranica;journal;23453605, 10263098;0,204;Q2;41;290;835;10325;605;832;0,76;35,6;Iran;Sharif University of Technology;1999-ongoing;Engineering (miscellaneous) (Q2)
3410;19700188209;Soil and Environment;journal;20751141, 20749546;0,204;Q3;13;12;65;403;33;65;0,6;33,58;Pakistan;Soil Science Society of Pakistan;2010-ongoing;"Environmental Science (miscellaneous) (Q3); Soil Science (Q4)"
3411;21100378339;Clinica y Salud;journal;21740550, 11305274;0,203;Q3;7;19;61;757;36;60;0,68;39,84;Spain;Elsevier Doyma;2013-ongoing;Clinical Psychology (Q3)
3412;29725;Hongwai Yu Haomibo Xuebao/Journal of Infrared and Millimeter Waves;journal;10019014;0,203;Q4;24;122;372;2592;192;372;0,52;21,25;China;Kexue Chubaneshe/Science Press;1991-ongoing;Atomic and Molecular Physics, and Optics (Q4)
3413;11700154323;Image Analysis and Stereology;journal;15803139;0,203;Q3;14;22;58;641;85;54;2;29,14;Slovenia;Slovenian Society for Stereology and Quantitative Image Analysis;2008-ongoing;"Acoustics and Ultrasonics (Q3); Biotechnology (Q3); Computer Vision and Pattern Recognition (Q3); Materials Science (miscellaneous) (Q3); Signal Processing (Q3); Instrumentation (Q4); Mathematics (miscellaneous) (Q4); Radiology, Nuclear Medicine and Imaging (Q4)"
3414;19700174632;Journal of Receptor, Ligand and Channel Research;journal;1178699X;0,203;Q3;7;1;6;98;4;6;1;98;United Kingdom;Dove Medical Press Ltd;2010-ongoing;"Pharmacology (Q3); Biochemistry (Q4); Biophysics (Q4); Cell Biology (Q4)"
3415;21100334848;Management and Marketing;journal;20698887, 18420206;0,203;Q3;5;19;82;856;56;81;0,62;45,05;Romania;Editura Economica;2014-ongoing;Business, Management and Accounting (miscellaneous) (Q3)
3416;11500153501;Pan-American Journal of Aquatic Sciences;journal;18099009;0,203;Q4;16;26;104;1155;45;104;0,49;44,42;Brazil;Panamjas;2008-ongoing;"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
3417;21100840458;Periodicals of Engineering and Natural Sciences;journal;23034521;0,203;Q2;3;53;56;1435;44;56;0,79;27,08;Bosnia and Herzegovina;International University of Sarajevo;2017-ongoing;"Architecture (Q2); Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Mechanical Engineering (Q3); Bioengineering (Q4); Biomedical Engineering (Q4)"
3418;11500153303;Proceedings of the Estonian Academy of Sciences;journal;17366046;0,203;Q2;16;42;251;1102;130;243;0,73;26,24;Estonia;Estonian Academy Publishers;2008-ongoing;Engineering (miscellaneous) (Q2)
3419;21100456774;Scientia et Fides;journal;23007648, 23535636;0,203;Q1;3;21;93;756;15;90;0,18;36;Poland;Nicolaus Copernicus University;2013-ongoing;"Religious Studies (Q1); Philosophy (Q2)"
3420;21100775930;Vestnik Tomskogo Gosudarstvennogo Universiteta, Filologiya;journal;19986645, 23105046;0,203;Q2;3;93;240;2354;33;240;0,17;25,31;Russian Federation;Tomsk State University;2016-ongoing;"Language and Linguistics (Q2); Linguistics and Language (Q2)"
3421;69053;Ciencia e Investigacion Agraria;journal;7181620;0,202;Q3;14;28;117;844;56;113;0,42;30,14;Chile;Universidad CatOlica de Chile, Escuela de Agronomia;1982, 2008-ongoing;Agricultural and Biological Sciences (miscellaneous) (Q3)
3422;5100152914;Educacion Medica;journal;15751813;0,202;Q3;9;230;138;3408;115;99;1,31;14,82;Spain;Fundacion Privada Educacion Medica;2003-2004, 2006-2012, 2015-ongoing;"Education (Q3); Medicine (miscellaneous) (Q3)"
3423;19900193948;International Journal of Vehicular Technology;journal;16875702, 16875710;0,202;Q3;14;0;20;0;23;19;1;0;Egypt;Hindawi Publishing Corporation;2011-ongoing;"Automotive Engineering (Q3); Mechanical Engineering (Q3); Computer Science Applications (Q4)"
3424;8100153107;Magallania;journal;07180209, 07182244;0,202;Q3;13;17;99;693;32;98;0,25;40,76;Chile;Instituto de la Patagonia, Universidad de Magallanes;2007-ongoing;Social Sciences (miscellaneous) (Q3)
3425;19900191750;Motriz. Revista de Educacao Fisica;journal;14159805, 19806574;0,202;Q3;11;41;164;1409;87;161;0,52;34,37;Brazil;Universidade Estadual Paulista (UNESP);2010-ongoing;"Medicine (miscellaneous) (Q3); Health (social science) (Q4); Sports Science (Q4)"
3426;21100847472;Open Astronomy;journal;25436376;0,202;Q4;23;39;66;1272;16;65;0,22;32,62;Poland;De Gruyter Open Ltd.;2016-ongoing;"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)"
3427;15786;Revista Chilena de Pediatria;journal;07176228, 03704106;0,202;Q3;14;116;303;2651;116;239;0,46;22,85;Chile;Sociedad Chilena de Pediatria;1947-1967, 1970-ongoing;Pediatrics, Perinatology and Child Health (Q3)
3428;93511;Turk Kardiyoloji Dernegi Arsivi;journal;10165169;0,202;Q3;21;160;579;2402;176;401;0,4;15,01;Turkey;Turk Kardiyoloji Dernegi;1990-ongoing;Cardiology and Cardiovascular Medicine (Q3)
3429;145513;Acta Scientiarum - Biological Sciences;journal;16799283;0,201;Q3;20;45;179;1713;74;179;0,29;38,07;Brazil;Universidade Estadual de Maringa;2003-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)"
3430;21100203117;Etnografica;journal;21822891, 08736561;0,201;Q2;10;31;102;1291;35;101;0,24;41,65;Portugal;Centro em Rede de Investigacao em Antropologia - CRIA;2011-ongoing;"Cultural Studies (Q2); Anthropology (Q3)"
3431;21100826879;International Journal of Corrosion and Scale Inhibition;journal;23056894;0,201;Q3;3;36;32;1283;34;32;1,06;35,64;Russian Federation;Russian Association of Corrosion Engineers;2017-ongoing;"Metals and Alloys (Q3); Materials Chemistry (Q4)"
3432;21100791269;Journal of Animal Behaviour and Biometeorology;journal;23181265;0,201;Q4;5;20;61;710;31;60;0,63;35,5;Brazil;Universidade Federal Rural do Semi-Arido;2013-ongoing;"Animal Science and Zoology (Q4); Atmospheric Science (Q4); Ecology (Q4)"
3433;19700181105;Journal of Babol University of Medical Sciences;journal;15614107;0,201;Q3;10;41;370;1172;133;370;0,36;28,59;Iran;Babol University of Medical Sciences;2010-ongoing;Medicine (miscellaneous) (Q3)
3434;21100210917;Journal of Nano- and Electronic Physics;journal;20776772, 23064277;0,201;Q3;13;234;700;3711;353;700;0,57;15,86;Ukraine;Sumy State University;2009-ongoing;"Materials Science (miscellaneous) (Q3); Condensed Matter Physics (Q4); Radiation (Q4)"
3435;21100853516;Journal of Otology;journal;16722930;0,201;Q3;2;0;2;0;2;2;0;0;China;PLA General Hospital Department of Otolaryngology Head and Neck Surgery;2014-2015;Otorhinolaryngology (Q3)
3436;14046;Library Philosophy and Practice;journal;15220222;0,201;Q2;14;249;323;6294;103;323;0,25;25,28;United States;University of Idaho Library;1998-ongoing;"Philosophy (Q2); Library and Information Sciences (Q3)"
3437;11700154705;Nuclear Physics and Atomic Energy;journal;1818331X;0,201;Q4;5;37;155;633;29;155;0,17;17,11;Ukraine;National Academy of Sciences of Ukraine;2008-ongoing;Nuclear and High Energy Physics (Q4)
3438;19700175072;Open Biomedical Engineering Journal;journal;18741207;0,201;Q3;19;11;81;223;78;75;1,06;20,27;United Arab Emirates;Bentham Science Publishers;2009-ongoing;"Medicine (miscellaneous) (Q3); Bioengineering (Q4); Biomedical Engineering (Q4)"
3439;21100775661;Physical Culture and Sport, Studies and Research;journal;20812221, 18994849;0,201;Q2;2;28;57;847;17;56;0,3;30,25;Germany;De Gruyter Open Ltd.;2016-ongoing;"Cultural Studies (Q2); Education (Q3); Applied Psychology (Q4); Tourism, Leisure and Hospitality Management (Q4)"
3440;10800153304;Revista Brasileira de Educacao Especial;journal;14136538;0,201;Q3;8;52;134;1623;33;123;0,27;31,21;Brazil;Universidade Metodista de Piracicaba;2007-ongoing;Education (Q3)
3441;4700152850;Revista Brasileira de Ensino de Fisica;journal;18061117, 18069126;0,201;Q3;9;85;243;2364;57;237;0,26;27,81;Brazil;Sociedade Brasileira de Fisica;2006-ongoing;"Education (Q3); Physics and Astronomy (miscellaneous) (Q4)"
3442;19700170038;Romanian Journal of European Affairs;journal;15828271, 18414273;0,201;Q3;5;13;53;452;21;53;0,47;34,77;Romania;European Institute of Romania;2011-ongoing;Political Science and International Relations (Q3)
